"to","from","n"
"Aaron.Baker.Small@optonline.net","Desiree.Claudia.Booth@dtaa.com",1
"Aaron.Baker.Small@optonline.net","Leigh.Ina.Merrill@dtaa.com",1
"Aaron.Baker.Small@optonline.net","Odessa.Hayley.Quinn@dtaa.com",1
"Aaron.Clayton.Coleman@cox.net","Burke.Reed.Haynes@dtaa.com",1
"Aaron.Clayton.Coleman@cox.net","Nolan.Elmo.Cherry@dtaa.com",9
"Aaron.Dieter.Combs@gmail.com","Jermaine.Clarke.Barnett@dtaa.com",3
"Aaron.Dolan.Hill@dtaa.com","Abigail.Rylee.Bean@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Amber.Shannon.Sawyer@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Anne.Zia.Hawkins@dtaa.com",2
"Aaron.Dolan.Hill@dtaa.com","Benjamin.Griffin.Mclaughlin@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Benjamin.Prescott.Elliott@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Brenna.Martha.Russell@dtaa.com",2
"Aaron.Dolan.Hill@dtaa.com","Caleb.Leroy.Mccoy@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Callie.Sierra.Gates@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Cassidy.Serina.Watson@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Christen.Portia.Solis@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Clementine.April.Juarez@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Cole.Thaddeus.Ellison@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Ferris.Thomas.Vargas@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Griffin.Ishmael.Moore@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Hu.William.Tyson@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Jescie.Oprah.Lara@dtaa.com",1
